,公司中文名称,评级日期,评级类型,信用评级,评级展望,评级机构代码,债券主体公司id,信用评级说明,前次信用评级,评级变动方向,评级对象类型代码,公告日期
35,凯迪生态环境科技股份有限公司,2017-08-25,1,AA,"518,003,000",14,1000939,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-08-26
36,成都经济技术开发区国有资产投资有限公司,2017-06-23,1,AA,"518,003,000",6,782659896,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-27
37,内蒙古高等级公路建设开发有限责任公司,2017-08-22,1,AA+,"518,003,000",5,0PR47BD807,0,AA+,维持,"536,001,001",2017-09-06
38,通辽市城市投资集团有限公司,2017-06-28,1,AA,"518,003,000",2,3IU4CE51A4,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-29
39,宁乡县国有资产经营有限公司,2017-06-14,1,AA,"518,003,000",14,740606737,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-26
40,瑞茂通供应链管理股份有限公司,2016-11-25,1,AA,"518,003,000",7,1600180,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-19
41,荣安地产股份有限公司,2017-06-20,1,AA,"518,003,000",7,1000517,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-22
42,上海国际港务(集团)股份有限公司,2017-07-26,1,A1,"518,003,000",16,16S6876E6B,A级债务为中上等级，有低信用风险;修正数字1表示该债务在所属同类评 级中排位较高,A1,维持,"536,002,002",2017-07-26
43,中银国际证券有限责任公司,2017-06-26,1,AAA,"518,003,000",7,502041190,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,AAA,维持,"536,001,001",2017-06-27
44,深圳市怡亚通供应链股份有限公司,2017-06-26,1,AA,"518,003,000",7,2oB50208FE,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-30
45,哈尔滨物业供热集团有限责任公司,2017-07-27,1,AA-,"518,003,000",2,xghv5JjabD,0,AA-,维持,"536,001,001",2017-07-28
46,中国电子信息产业集团有限公司,2017-06-22,1,AAA,"518,003,000",6,2009537,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,AAA,维持,"536,001,001",2017-06-26
47,南山集团有限公司,2017-07-27,1,AAA,"518,003,000",7,2007481,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,AAA,维持,"536,001,001",2017-08-08
48,南京紫金投资集团有限责任公司,2017-06-28,1,AAA,"518,003,000",2,FCA35,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-28
49,中国水利水电第十三工程局有限公司,2017-07-28,1,AA+,"518,003,000",2,jCVFC2txHx,0,AA+,维持,"536,001,001",2017-07-28
50,宁德市国有资产投资经营有限公司,2017-06-27,1,AA,"518,003,000",2,502039526,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-28
51,温州经济技术开发区国有资产经营有限公司,2017-06-16,1,AA+,"518,003,000",14,f5tSCs9reg,0,AA+,维持,"536,001,001",2017-06-23
52,宜春市创业投资有限公司,2017-06-16,1,AA,"518,003,000",14,74425293X,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-23
53,铜陵发展投资集团有限公司,2017-06-23,1,AA,"518,003,000",14,KcST6AVdae,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-26
54,义乌市水务建设集团有限公司,2017-06-20,1,AA-,"518,003,000",13,253thGpkmp,0,AA-,维持,"536,001,001",2017-06-21
55,潞安新疆煤化工(集团)有限公司,2017-07-25,1,AA-,"518,003,000",2,150DDB,0,AA-,维持,"536,001,001",2017-07-26
56,福建龙净环保股份有限公司,2017-07-24,1,AA+,"518,003,000",4,1600388,0,AA+,维持,"536,001,001",2017-07-28
57,深圳市大富配天投资有限公司,2017-06-26,1,AA-,"518,003,000",7,2NO68ED4E7,0,AA-,维持,"536,001,001",2017-07-07
58,中国节能环保集团公司,2017-08-18,1,AAA,"518,003,000",6,502039160,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,AAA,维持,"536,001,001",2017-08-25
59,新东港控股集团有限公司,2017-06-25,1,AA,"518,003,000",14,FvhJ7ihzgP,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
60,天津海泰控股集团有限公司,2017-07-27,1,AA+,"518,003,000",6,502035168,0,AA+,维持,"536,001,001",2017-08-22
61,红豆集团有限公司,2017-06-23,1,AA+,"518,003,000",5,600404,0,AA+,维持,"536,001,001",2017-07-11
62,吉林省高速公路集团有限公司,2016-12-05,1,AA+,"518,003,000",5,2NP032D265,0,AA+,维持,"536,001,001",2017-06-28
63,乌鲁木齐经济技术开发区建设投资开发有限公司,2017-08-04,1,AA+,"518,003,000",14,F692B,0,AA,调高,"536,001,001",2017-08-11
64,河北海伟交通设施集团有限公司,2017-06-26,1,AA+,"518,003,000",6,lcD3TYaESk,0,AA,调高,"536,001,001",2017-06-28
65,青岛银行股份有限公司,2017-07-26,1,AA+,"518,003,000",4,0FN7ECAE10,0,AA+,维持,"536,001,001",2017-07-28
66,成都市新都香城建设投资有限公司,2017-06-30,1,AA,"518,003,000",2,OdEaIYIKK5,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-30
67,上海豫园旅游商城股份有限公司,2017-06-28,1,AA+,"518,003,000",4,1600655,0,AA+,维持,"536,001,001",2017-06-29
68,中国国新控股有限责任公司,2017-07-27,1,AAA,"518,003,000",2,BmuMoJbDNB,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-31
69,武汉地铁集团有限公司,2017-06-27,1,AAA,"518,003,000",2,PN0wp46OhJ,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-28
70,深圳市铁汉生态环境股份有限公司,2017-07-05,1,AA,"518,003,000",4,45D58D1AF8,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA-,调高,"536,001,001",2017-07-14
71,山东高速集团有限公司,2017-08-25,1,AAA,"518,003,000",2,1H643620FB,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-09-12
72,紫光集团有限公司,2017-05-12,1,AAA,"518,003,000",13,2013690,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,AAA,维持,"536,001,001",2017-09-05
73,安徽省怀宁县城乡建设投资发展有限责任公司,2017-08-02,1,AA-,"518,003,000",19,aICb0GeMJ1,0,0,首次,"536,001,001",2017-08-18
74,常州市城市建设(集团)有限公司,2017-07-18,1,AA+,"518,003,000",2,3IO4E4C71F,0,AA+,维持,"536,001,001",2017-08-24
75,保利文化集团股份有限公司,2017-09-05,1,AA+,"518,003,000",2,kyjs7gzRdC,0,0,首次,"536,001,001",2017-09-08
76,苏州国际发展集团有限公司,2017-06-27,1,AAA,"518,003,000",7,0468AC94C6,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,AAA,维持,"536,001,001",2017-06-28
77,万科企业股份有限公司,2017-06-16,1,AAA,"518,003,000",13,1000002,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,AAA,维持,"536,001,001",2017-07-11
78,铜川市开发投资有限公司,2017-09-12,1,AA-,"518,003,000",6,hsiZY63axa,0,AA-,维持,"536,001,001",2017-09-13
79,协鑫智慧能源股份有限公司,2017-08-25,1,AA,"518,003,000",2,opKub8M1Oa,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-08-28
80,华泰联合证券有限责任公司,2013-07-12,5,AA,0,15,2002074,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内最高，能够较好控制业务风险,AA,维持,"536,002,000",2017-07-31
81,潍坊银行股份有限公司,2017-07-19,1,AA,"518,003,000",2,16N5FCC2BB,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-20
82,三湘印象股份有限公司,2017-06-23,1,AA,"518,003,000",13,1000863,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,AA-,调高,"536,001,001",2017-06-26
83,南通高新技术产业开发区总公司,2017-08-25,1,AA,"518,003,000",2,dAmtqCEkFK,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-08-25
84,江苏金坛国发国际投资发展有限公司,2017-06-26,1,AA,"518,003,000",5,JRYcAJXFJN,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-06-27
85,常州投资集团有限公司,2017-06-26,1,AA,"518,003,000",5,0yOD2E2125,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,002,001",2017-06-27
86,广州发展电力集团有限公司,2017-07-27,1,AA+,"518,003,000",2,y8lKFAbEU3,0,AA+,维持,"536,001,001",2017-07-28
87,马鞍山市雨山区城市发展投资集团有限责任公司,2017-09-05,1,AA,"518,003,000",14,674211154,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-09-14
88,鞍山钢铁集团有限公司,2017-07-28,1,AAA,"518,003,000",2,3I2626BDEE,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-31
89,瓦房店市国有资产经营管理中心,2017-06-28,1,AA,"518,003,000",6,fENKVCZwup,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-29
90,华邦生命健康股份有限公司,2017-07-14,1,AA+,"518,003,000",5,1A23C7D9C2,0,AA,调高,"536,001,001",2017-07-17
91,山东禹城农村商业银行股份有限公司,2017-06-28,1,A+,"518,003,000",5,bPNE9AMdZm,0,A+,维持,"536,001,001",2017-06-29
92,浙富控股集团股份有限公司,2017-06-23,1,AA-,"518,003,000",7,2oK500C14A,0,AA-,维持,"536,001,001",2017-06-27
93,月星集团有限公司,2017-06-25,1,AA,"518,003,000",14,2AF3DBADDB,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-28
94,上海东方期货经纪有限责任公司,2016-01-01,4,CCC,0,15,1uJ621773B,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内一般，风险管理能力与业务规模基本匹配,CCC,维持,"536,002,000",2016-08-05
95,东方汇金期货有限公司,2016-01-01,4,CC,0,15,1hH9CB9325,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内一般，风险管理能力与业务规模基本匹配,CC,维持,"536,002,000",2016-08-05
96,山西三立期货经纪有限公司,2016-01-01,4,D,0,15,1hHA321A97,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较低，潜在风险可能超过公司可承受范围,C,调低,"536,002,000",2016-08-05
97,国联期货有限责任公司,2016-01-01,4,D,0,15,1hO99BEBF8,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较低，潜在风险可能超过公司可承受范围,A,调低,"536,002,000",2016-08-05
98,雅居乐集团控股有限公司,2017-06-12,1,AA+,"518,003,000",13,1T57D6AD32,0,AA+,维持,"536,001,001",2017-07-10
99,韶关市城市投资发展集团有限公司,2017-06-21,1,AA,"518,003,000",14,754502111,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
100,愉悦家纺有限公司,2017-06-16,1,AA-,"518,003,000",14,FCAE4,0,AA-,维持,"536,001,001",2017-06-27
101,福星惠誉房地产有限公司,2017-06-07,1,AA,"518,003,000",13,2oT60401E8,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,AA,维持,"536,001,001",2017-06-28
102,重庆两江新区开发投资集团有限公司,2017-06-23,1,AAA,"518,003,000",4,TK3GbKbJbB,短期债务的支付能力和长期债务的偿还能力具有最大保障；经营处于良性循环状态，不确定因素对经营与发展的影响最小；偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。,AAA,维持,"536,001,001",2017-06-26
103,宿迁水务集团有限公司,2017-06-21,1,AA+,"518,003,000",14,N0hEgfL9NO,0,AA+,维持,"536,001,001",2017-06-27
104,如东县金鑫交通工程建设投资有限公司,2017-06-25,1,AA,"518,003,000",14,79833843X,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
105,民生期货有限公司,2016-01-01,4,BBB,0,15,1573B7,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较高，能够控制业务风险,CCC,调高,"536,002,000",2016-08-05
106,宝应县城市建设投资发展有限公司,2017-06-24,1,AA,"518,003,000",14,743136734,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
107,增城市碧桂园物业发展有限公司,2017-06-19,1,AA+,"518,003,000",6,EzsMRpxFcS,0,AA+,维持,"536,001,001",2017-06-22
108,新沂市城市投资发展有限公司,2017-06-14,1,AA,"518,003,000",14,681144818,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-21
109,宁夏国有资本运营集团有限责任公司,2017-08-23,1,AAA,"518,003,000",5,IntznDo3t8,AAA级债为最高级债，其还本付息能力最强。,AAA,维持,"536,001,001",2017-08-29
110,天顺风能(苏州)股份有限公司,2017-07-13,1,AA,"518,003,000",7,jaYtn9HfnY,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-08-10
111,山东高速集团有限公司,2017-06-26,1,AAA,"518,003,000",2,1H643620FB,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-27
112,中国能源建设集团有限公司,2016-05-30,1,AAA,"518,003,000",4,FssB5MC36d,短期债务的支付能力和长期债务的偿还能力具有最大保障；经营处于良性循环状态，不确定因素对经营与发展的影响最小；偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。,AAA,维持,"536,001,001",2016-07-17
113,京能置业股份有限公司,2017-07-20,1,AA,"518,003,000",5,1600791,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-07-20
114,广东省广物控股集团有限公司,2017-06-27,1,AA+,"518,003,000",5,0P161C9EFB,0,AA,调高,"536,001,001",2017-08-10
115,泰禾集团股份有限公司,2017-06-19,1,AA+,"518,003,000",19,1000732,0,AA+,维持,"536,001,001",2017-06-21
116,哈尔滨工业投资集团有限公司,2017-07-24,1,AA,"518,003,000",6,15C614,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-25
117,阳光凯迪新能源集团有限公司,2017-08-24,1,AA,"518,002,000",14,1H415519F6,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-08-25
118,海安城市动迁改造有限公司,2017-06-23,1,AA,"518,003,000",14,HlHPfiKCtB,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
119,兴安盟城市发展投资经营有限责任公司,2017-07-25,1,AA,"518,003,000",19,790152964,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-07-26
120,传化集团有限公司,2017-07-26,1,AA,"518,003,000",6,0yA47613A2,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-27
121,连云港港口集团有限公司,2017-06-29,1,AA+,"518,003,000",2,2N44609AF3,0,AA,调高,"536,001,001",2017-06-30
122,齐鲁证券(上海)资产管理有限公司,2016-07-15,5,A,0,15,TTeMcxslr5,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内最高，能够较好控制业务风险,AA,调低,"536,002,000",2017-07-31
123,盐城东方投资开发集团有限公司,2017-08-02,1,AA,"518,003,000",4,4U44C7D494,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-08-25
124,金鹰国际商贸集团(中国)有限公司,2017-07-27,1,AA+,"518,003,000",2,2NI456EA9C,0,AA+,维持,"536,001,001",2017-07-28
125,北京首创股份有限公司,2017-06-29,1,AAA,"518,003,000",2,1600008,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-30
126,滨州城建投资集团有限公司,2017-06-20,1,AA+,"518,003,000",5,786138334,0,AA+,维持,"536,001,001",2017-06-20
127,招商局蛇口工业区控股股份有限公司,2017-08-11,1,AAA,"518,003,000",2,2002345,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-08-15
128,深圳翰宇药业股份有限公司,2016-06-27,1,AA-,"518,003,000",14,2A628D552C,0,AA-,维持,"536,001,001",2017-06-30
129,超威电源有限公司,2017-07-06,1,AA,"518,003,000",6,NJ0wiSbyq3,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-07
130,中国邮电器材集团公司,2017-08-14,1,AA,"518,003,000",4,4W39E3CA00,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-08-15
131,江苏省锡山经济开发区开发总公司,2017-06-19,1,AA,"518,003,000",6,p0hrtThwPi,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-22
132,连云港市交通集团有限公司,2017-01-04,1,AA,"518,003,000",5,eoNxfuY7Od,AA级债属高级债，其还本付息能力很强，基本无风险。,0,首次,"536,001,001",2017-07-13
133,景瑞地产(集团)有限公司,2017-06-23,1,AA,"518,003,000",7,U8Cj7DRZ08,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-27
134,湖北凯乐科技股份有限公司,2017-07-13,1,AA-,"518,003,000",4,1600260,0,AA-,维持,"536,001,001",2017-07-13
135,上海淀山湖新城发展有限公司,2017-06-28,1,AA+,"518,003,000",2,1AE9C9D807,0,AA+,维持,"536,001,001",2017-06-28
136,南京浦口城乡建设集团有限公司,2017-08-04,1,AA,"518,003,000",5,NKkbmQ4ybQ,AA级债属高级债，其还本付息能力很强，基本无风险。,0,首次,"536,001,001",2017-08-09
137,阳光城集团股份有限公司,2017-07-13,1,AA+,"518,003,000",2,1000671,0,AA+,维持,"536,001,001",2017-07-14
138,蒙城县城市发展投资控股集团有限公司,2017-08-30,1,AA,"518,003,000",14,6HWY4w9T4k,债务安全性很高，违约风险很低。,0,首次,"536,001,001",2017-09-13
139,信阳市弘昌管道燃气工程有限责任公司,2017-06-30,1,C,"518,003,000",14,3v29285122,债务无法得到偿还。,BB,调低,"536,001,001",2017-07-03
140,北大方正集团有限公司,2016-06-28,1,AAA,"518,003,000",7,1HD1FE2FB5,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,0,首次,"536,001,001",2017-07-05
141,黑龙江省高速公路集团公司,2017-07-26,1,AA+,"518,003,000",2,T003BC1F,0,AA+,维持,"536,001,001",2017-07-27
142,洛阳栾川钼业集团股份有限公司,2017-06-30,1,AAA,"518,003,000",2,2AF46FEA88,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-30
143,浏阳市城市建设集团有限公司,2017-06-28,1,AA,"518,003,000",4,71211505X,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-29
144,仙游县农村信用合作联社,2017-06-20,1,A+,0,2,cgCYS2A9gU,0,0,首次,"536,001,001",2017-06-20
145,深圳市芭田生态工程股份有限公司,2017-08-21,1,AA,"518,003,000",19,2KU938E75C,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-08-25
146,厦门路桥建设集团有限公司,2017-06-29,1,AAA,"518,003,000",2,2007555,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-29
147,梧州市东泰国有资产经营有限公司,2017-08-21,1,AA,"518,003,000",14,2N74E5082C,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-08-24
